Location	Coarse	Coarse.1stMention	Region	Region2	Decade	Freq	N	E
Судак	Судак	Судак	Крым	Черное море	1911	29	44.8374	35.0275
Судак	Судак	Судак	Крым	Черное море	1921	18	44.8374	35.0275
Старый Крым	Старый Крым	Старый Крым	Крым	Черное море	1931	1	45.029167	35.088611
Коктебель	Коктебель	Коктебель	Крым	Черное море	1901	28	44.959722	35.240278
Коктебель	Коктебель	Коктебель	Крым	Черное море	1911	72	44.959722	35.240278
Коктебель	Коктебель	Коктебель	Крым	Черное море	1921	29	44.959722	35.240278
Коктебель	Коктебель	Коктебель	Крым	Черное море	1931	3	44.959722	35.240278
Коктебель	Коктебель	Коктебель	Крым	Черное море	2_decades	1	44.959722	35.240278
Коктебель (from date)	Коктебель	Коктебель	Крым	Черное море	1901	3	44.959722	35.240278
Коктебель (from date)	Коктебель	Коктебель	Крым	Черное море	1911	11	44.959722	35.240278
Коктебель (from date)	Коктебель	Коктебель	Крым	Черное море	1921	14	44.959722	35.240278
Коктебель (from date)	Коктебель	Коктебель	Крым	Черное море	1951	2	44.959722	35.240278
Богородицкое. IN: Хотынецкий район, Орловская область	Богородицкое	Богородицкое	Орел	Южные области	1901	1	53.0585752	35.3432416
Феодосия	Феодосия	Феодосия	Крым	Черное море	1921	6	45.048889	35.379167
Феодосия	Феодосия	Феодосия	Крым	Черное море	2_decades	1	45.048889	35.379167
Белкино. IN: Калужская область	Калужская область	Белкино	Калуга	Центр России	1901	2	54.433333	35.433333
Покровское. IN: Болховский район, Орловская область	Покровское	Покровское	Орел	Южные области	1861	1	53.3271124	35.6710978
Игино	Игино	Игино	Курск	Южные области	1851	1	52.226022	35.708077
Александровское. IN: Болховский район, Орловская область	Александровское	Александровское	Орел	Южные области	1851	1	53.5146516	35.8426477
Старое село	Старое село	Старое село	Москва	Москва	1901	2	55.5634858	35.8429513
Тверь	Тверь	Тверь	Тверь	Северо-Запад	1831	1	56.857828	35.921928
Тверь. Москва	Тверь. Москва	Тверь	Тверь	Северо-Запад	1911	1	56.857828	35.921928
Орел	Орел	Орел	Орел	Южные области	1851	2	52.970143	36.063397
Орел	Орел	Орел	Орел	Южные области	1901	1	52.970143	36.063397
Кишкинка. IN: Орловская губерния	Орловская губерния	Орловская губерния	Орел	Южные области	1911	1	52.966667	36.083333
Старое Горохово?, Орловская область	Старое	Старое	Орел	Южные области	1851	1	52.5487473	36.1442116
Верея	Верея	Верея	Москва	Москва	1901	1	55.333333	36.183333
Кудиново	Кудиново	Кудиново	Калуга	Центр России	1911	4	54.9922399	36.2283924
Харьков	Харьков	Харьков	Украина, Харьков	Украина, Молдавия, Белоруссия, Польша, Литва	1911	2	50	36.229167
Харьков	Харьков	Харьков	Украина, Харьков	Украина, Молдавия, Белоруссия, Польша, Литва	1921	2	50	36.229167
Кривцово. IN: Орловская область	Кривцово	Кривцово	Орел	Южные области	1911	3	53.4762656	36.2532924
Калуга	Калуга	Калуга	Калуга	Центр России	1891	1	54.533333	36.266667
Пирожково. IN: Орловская область	Пирожково	Пирожково	Орел	Южные области	1901	3	52.6437863	36.3028994
Пирожково. IN: Орловская область	Пирожково	Пирожково	Орел	Южные области	1911	5	52.6437863	36.3028994
Трубицыно	Трубицыно	Трубицыно	Калуга	Центр России	1901	1	54.9834671	36.3272098
Воробьевка. IN: Золотухинский район Курской области	Воробьевка	Воробьевка	Курск	Южные области	1881	1	52.018657	36.372409
Керчь	Керчь	Керчь	Крым	Черное море	1941	1	45.338611	36.468056
Аджимушкайские каменоломни	Аджимушкайские каменоломни	Аджимушкайские каменоломни	Крым	Черное море	1941	1	45.380969	36.523447
Выропаевка. IN: Тульский уезд, Тула	Выропаевка	Выропаевка	Тула	Центр России	1911	1	53.8171249	36.5674174
Выропаевка. IN: Тульский уезд, Тула	Выропаевка	Выропаевка	Тула	Центр России	1911	8	53.8171249	36.5674174
Зыково. IN: Истринский район, Московская область	Зыково	Зыково	Москва	Москва	1841	1	56.0658835	36.6933803
Бежецк	Бежецк	Бежецк	Тверь	Северо-Запад	1921	1	57.783333	36.7
Бежецк. Петербург	Бежецк. Петербург	Бежецк	Тверь	Северо-Запад	1921	1	57.783333	36.7
Звенигород	Звенигород	Звенигород	Москва	Москва	1911	1	55.733333	36.85
Голицыно	Голицыно	Голицыно	Москва	Москва	1941	2	55.614722	36.987222
Голицыно	Голицыно	Голицыно	Москва	Москва	1951	1	55.614722	36.987222
Сенежское озеро	Сенежское озеро	Сенежское озеро	Москва	Москва	1911	1	56.2	37
Шахматово	Шахматово	Шахматово	Москва	Москва	1901	2	56.314722	37.051667
Шахматово	Шахматово	Шахматово	Москва	Москва	1961	1	56.314722	37.051667
Антоновка. IN: Тарусский район, Калужская область	Антоновка	Антоновка	Калуга	Центр России	1901	2	54.6666309	37.0567404
Поварово. IN: Московская область	Поварово	Поварово	Москва	Москва	1911	2	56.073162	37.062054
Петровское	Петровское	Петровское	Москва	Москва	1901	11	55.9125468	37.0716258
Дедово	Дедово	Дедово	Москва	Москва	1901	14	55.9182865	37.0904714
Дедово	Дедово	Дедово	Москва	Москва	1911	15	55.9182865	37.0904714
Надовражино	Надовражино	Надовражино	Москва	Москва	1921	1	55.913611	37.113056
Крюково	Крюково	Крюково	Москва	Москва	1921	1	55.6467069	37.131956
Опалиха	Опалиха, Московская обл.	Опалиха	Москва	Москва	1911	3	55.8237128	37.2383689
Красная Пахра	Красная Пахра	Красная Пахра	Москва	Москва	1961	1	55.431468	37.27138
Переделкино	Переделкино	Переделкино	Москва	Москва	1941	2	55.655556	37.3325
Опалиха. IN: Красногорск	Красногорск	Красногорск	Москва	Москва	1911	2	55.816667	37.333333
Изумрудный Поселок. IN: Очаковская платформа Брянской ж. д.	Изумрудный Поселок	Изумрудный Поселок	Москва	Москва	1901	1	55.683556	37.45125
Подольск	Подольск	Подольск	Москва	Москва	1911	3	55.429722	37.544444
2-й Боткинский проезд. IN: Москва	Москва	Москва	Москва	Москва	1951	2	55.755833	37.617778
Арбат, 49. IN: Москва	Москва	Москва	Москва	Москва	1911	1	55.755833	37.617778
Арбат. IN: Москва	Москва	Москва	Москва	Москва	1901	1	55.755833	37.617778
Большая Садовая улица. IN: Москва	Москва	Москва	Москва	Москва	1911	2	55.755833	37.617778
Гиреево. IN: Москва	Москва	Москва	Москва	Москва	1901	7	55.755833	37.617778
Гоголевский бульвар. IN: Москва	Москва	Москва	Москва	Москва	1911	3	55.755833	37.617778
Кунцево. IN: Москва	Москва	Москва	Москва	Москва	1931	2	55.755833	37.617778
Кунцево. IN: Москва	Москва	Москва	Москва	Москва	1951	2	55.755833	37.617778
Лаврушинский переулок. IN: Москва	Москва	Москва	Москва	Москва	1961	1	55.755833	37.617778
