Location	Coarse	Coarse.1stMention	Region	Region2	Decade	Freq	N	E
Чатем, Нью-Джерси. IN: США	Чатем, Нью-Джерси	Чатем, Нью-Джерси	США	Америка	1931	1	40.7397531	-74.398949
Нью-Йорк	Нью-Йорк	Нью-Йорк	США	Америка	1921	4	40.6976684	-74.2605646
Нью-Йорк	Нью-Йорк	Нью-Йорк	США	Америка	1941	1	40.6976684	-74.2605646
Кармел, штат Нью-Йорк	Кармел, штат Нью-Йорк	Кармел, штат Нью-Йорк	США	Америка	1951	1	41.385	-73.729444
Козуэй (Дорога гигантов)	Козуэй (Дорога гигантов)	Козуэй (Дорога гигантов)	Ирландия	Западная Европа	1921	1	55.240833	-6.511667
Севилья	Севилья	Севилья	Испания	Средиземноморье	1891	7	37.383333	-5.983333
Холивуд, Северная Ирландия	Холивуд, Северная Ирландия	Холивуд, Северная Ирландия	Великобритания	Западная Европа	1921	2	54.6246	-5.7901
Абер-Врах. Финистер	Абер-Врах. Финистер	Абер-Врах	Франция	Западная Европа	1911	1	48.5977251	-4.5728532
Кемпер	Кемпер	Кемпер	Франция	Западная Европа	1901	1	47.996667	-4.096389
Эдинбург	Эдинбург	Эдинбург	Великобритания	Западная Европа	1911	6	55.95	-3.198889
Сен-Жан-де-Люз	Сен-Жан-де-Люз	Сен-Жан-де-Люз	Франция	Западная Европа	1901	1	43.390833	-1.658333
Биарриц	Биарриц	Биарриц	Франция	Западная Европа	1851	1	43.485604	-1.555354
Биарриц	Биарриц	Биарриц	Франция	Западная Европа	1891	1	43.485604	-1.555354
Биарриц	Биарриц	Биарриц	Франция	Западная Европа	1911	6	43.485604	-1.555354
Капбретон	Капбретон	Капбретон	Великобритания	Западная Европа	1921	1	43.64305	-1.43111
Оксфорд	Оксфорд	Оксфорд	Великобритания	Западная Европа	1891	1	51.751944	-1.257778
Лондон	Лондон	Лондон	Великобритания	Западная Европа	1931	3	51.507222	-0.1275
Стрэнд	Стрэнд	Стрэнд	Великобритания	Западная Европа	1911	2	51.511389	-0.118889
Амбуаз	Амбуаз	Амбуаз	Франция	Западная Европа	1921	1	47.404167	0.98
Андорра	Андорра	Андорра	Франция	Западная Европа	1901	1	42.558333	1.555278
Шато-де-Гресси	Шато-де-Гресси	Шато-де-Гресси	Франция	Западная Европа	1921	1	48.966019	2.1032119
Шавиль	Шавиль	Шавиль	Франция	Западная Европа	1921	3	48.8090676	2.173397
Медон	Медон	Медон	Франция	Западная Европа	1901	1	48.8075	2.240278
Медон	Медон	Медон	Франция	Западная Европа	1921	4	48.8075	2.240278
Theatre des Ambassadeures. IN: Париж	Париж	Париж	Франция	Западная Европа	1921	1	48.833333	2.333333
Булонский лес. IN: Париж	Париж	Париж	Франция	Западная Европа	1901	1	48.833333	2.333333
Париж	Париж	Париж	Франция	Западная Европа	1811	1	48.833333	2.333333
Париж	Париж	Париж	Франция	Западная Европа	1831	1	48.833333	2.333333
Париж	Париж	Париж	Франция	Западная Европа	1871	1	48.833333	2.333333
Париж	Париж	Париж	Франция	Западная Европа	1881	1	48.833333	2.333333
Париж	Париж	Париж	Франция	Западная Европа	1891	2	48.833333	2.333333
Париж	Париж	Париж	Франция	Западная Европа	1901	33	48.833333	2.333333
Париж	Париж	Париж	Франция	Западная Европа	1911	34	48.833333	2.333333
Париж	Париж	Париж	Франция	Западная Европа	1921	38	48.833333	2.333333
Париж	Париж	Париж	Франция	Западная Европа	1931	6	48.833333	2.333333
Париж (from date)	Париж	Париж	Франция	Западная Европа	1851	2	48.833333	2.333333
Париж (from date)	Париж	Париж	Франция	Западная Европа	1901	13	48.833333	2.333333
Париж (from date)	Париж	Париж	Франция	Западная Европа	1911	23	48.833333	2.333333
Париж (from date)	Париж	Париж	Франция	Западная Европа	1921	44	48.833333	2.333333
Париж (from date)	Париж	Париж	Франция	Западная Европа	1931	40	48.833333	2.333333
Париж (from date)	Париж	Париж	Франция	Западная Европа	1941	5	48.833333	2.333333
Париж (from date)	Париж	Париж	Франция	Западная Европа	1951	1	48.833333	2.333333
Париж (from date)	Париж	Париж	Франция	Западная Европа	2_decades	2	48.833333	2.333333
Париж (from date)	Париж	Париж	Франция	Западная Европа	3_decades	1	48.833333	2.333333
Париж. Тулуза	Париж. Тулуза	Париж	Франция	Западная Европа	1901	1	48.833333	2.333333
Тье	Тье	Тье	Франция	Западная Европа	1931	1	48.765	2.3923
Де-Панне	Де-Панне	Де-Панне	Бельгия	Западная Европа	1921	4	51.0775	2.589722
Синт-Идесбалд	Синт-Идесбалд	Синт-Идесбалд	Бельгия	Западная Европа	1921	5	51.107778	2.614167
Беркендаль	Беркендаль	Беркендаль	Бельгия	Западная Европа	1901	1	50.8295872	2.6633172
Майорка. Вальдемоса	Майорка. Вальдемоса	Майорка	Испания	Средиземноморье	1901	1	39.7014	2.6717
Схевенинген	Схевенинген	Схевенинген	Нидерланды	Западная Европа	1911	1	52.108056	4.273056
Брюссель	Брюссель	Брюссель	Бельгия	Западная Европа	1921	2	50.846667	4.3525
Лейден	Лейден	Лейден	Нидерланды	Западная Европа	1911	1	52.151716	4.4114582
Нордвейк	Нордвейк	Нордвейк	Нидерланды	Западная Европа	1911	3	52.233333	4.433333
Пюже	Пюже	Пюже	Франция	Западная Европа	1921	2	43.7698581	5.2220917
Юра	Юра	Жюра	Франция	Западная Европа	1901	1	46.4880996	5.9443647
Ла-Фавьер	Ла-Фавьер	Ла-Фавьер	Франция	Западная Европа	1921	1	46.751685	6.03419
Ле-Лаванду	Ле-Лаванду	Ле-Лаванду	Франция	Западная Европа	1921	1	43.138611	6.368333
Савойя	Савойя	Савойя	Франция	Западная Европа	1931	1	45.495584	6.383887
Лозанна	Лозанна	Лозанна	Швейцария	Западная Европа	1871	1	46.533333	6.633333
Кап-Эстерель. Аге	Кап-Эстерель. Аге	Кап-Эстерель	Франция	Западная Европа	1901	1	43.4252743	6.8453479
Монтанвер	Монтанвер	Монтанвер	Франция	Западная Европа	1901	1	45.9317328	6.9152445
Грас	Грас	Грас	Франция	Западная Европа	1921	1	43.666667	6.916667
Фрибур	Фрибур	Фрибур	Швейцария	Западная Европа	1871	2	46.8	7.15
Фрибур	Фрибур	Фрибур	Швейцария	Западная Европа	1901	1	46.8	7.15
Ницца	Ницца	Ницца	Франция	Западная Европа	1851	1	43.695833	7.271389
Ницца	Ницца	Ницца	Франция	Западная Европа	1881	3	43.695833	7.271389
Ницца	Ницца	Ницца	Франция	Западная Европа	1891	4	43.695833	7.271389
Ментона	Ментона	Ментона	Франция	Западная Европа	1881	1	43.775833	7.502778
Тун. IN: Швейцария	Тун. IN: Швейцария	Тун	Швейцария	Западная Европа	1871	1	46.7402635	7.6030995
Арлесхайм. IN: Базель, Швейцария	Арлесхайм	Арлесхайм	Швейцария	Западная Европа	1911	7	47.4962627	7.6134525
Базель	Базель	Базель	Швейцария	Западная Европа	1911	1	47.558333	7.616667
Дорнах	Дорнах	Дорнах	Швейцария	Западная Европа	1911	10	47.478769	7.616968
Оспедалетти	Оспедалетти	Оспедалетти	Италия	Средиземноморье	1911	1	43.8	7.716667
Бернское высокогорье	Бернское высокогорье	Бернское высокогорье	Швейцария	Западная Европа	1891	1	46.4847	7.7818
Лаутербруннен	Лаутербруннен	Лаутербруннен	Швейцария	Западная Европа	1891	1	46.599722	7.908611
Юнгфрау	Юнгфрау	Юнгфрау	Швейцария	Западная Европа	1881	2	46.536944	7.9625
Бриенц	Бриенц	Бриенц	Швейцария	Западная Европа	1901	1	46.749722	8.033333
Югенхайм-ин-Райнхессен	Югенхайм-ин-Райнхессен	Югенхайм-ин-Райнхессен	Германия	Западная Европа	1871	1	49.895	8.085
Брюнигская железная дорога, Швейцария	Брюнигская железная дорога, Швейцария	Брюнигская железная дорога	Швейцария	Западная Европа	1891	1	46.7565138	8.1280138
Люцерн	Люцерн	Люцерн	Швейцария	Западная Европа	1901	1	47.049722	8.3
Швейцария	Швейцария	Швейцария	Швейцария	Западная Европа	1901	1	46.933333	8.333333
Люцернское озеро	Люцернское озеро	Люцернское озеро	Швейцария	Западная Европа	1871	4	47.0167	8.4
Шварцвальд	Шварцвальд	Шварцвальд	Германия	Западная Европа	1901	1	48.583333	8.45
Палланца. IN: Вербания	Палланца	Палланца	Италия	Средиземноморье	1891	1	45.9258785	8.5411417
Палланца. IN: Вербания	Палланца	Палланца	Италия	Средиземноморье	1891	1	45.9258785	8.5411417
Цюрих	Цюрих	Цюрих	Швейцария	Западная Европа	1881	2	47.375	8.541667
Цюрих	Цюрих	Цюрих	Швейцария	Западная Европа	1901	2	47.375	8.541667
Бад-Хомбург-фор-дер-Хёэ	Бад-Хомбург-фор-дер-Хёэ	Бад-Хомбург-фор-дер-Хёэ	Германия	Западная Европа	1901	1	50.216667	8.6
Риги Кульм. IN: кантон Швиц, Швейцария	кантон Швиц, Швейцария	кантон Швиц, Швейцария	Швейцария	Западная Европа	1871	1	47.0258506	8.6208779
Шаффхаузен	Шаффхаузен	Шаффхаузен	Швейцария	Западная Европа	1821	1	47.7	8.633056
Гейдельберг	Гейдельберг	Гейдельберг	Германия	Западная Европа	1901	3	49.412222	8.71
Гейдельберг	Гейдельберг	Гейдельберг	Германия	Западная Европа	1911	3	49.412222	8.71
Бад-Наухайм	Бад-Наухайм	Бад-Наухайм	Германия	Западная Европа	1901	1	50.366667	8.75
Бад-Наухайм	Бад-Наухайм	Бад-Наухайм	Германия	Западная Европа	2_decades	1	50.366667	8.75
Генуя	Генуя	Генуя	Италия	Средиземноморье	1911	1	44.416667	8.933333
Зибенмуленталь	Зибенмуленталь	Зибенмуленталь	Германия	Западная Европа	1911	1	48.6705439	9.1387555
Милан	Милан	Милан	Италия	Средиземноморье	1891	1	45.466667	9.166667
Санта-Маргерита-Лигуре	Санта-Маргерита-Лигуре	Санта-Маргерита-Лигуре	Италия	Средиземноморье	1901	2	44.334722	9.21
Санта-Маргерита-Лигуре	Санта-Маргерита-Лигуре	Санта-Маргерита-Лигуре	Италия	Средиземноморье	1911	1	44.334722	9.21
Портовенере. Специя	Портовенере. Специя	Портовенере	Италия	Средиземноморье	1911	1	44.0546899	9.8280244
Одевальд. IN: Германия	Германия	Германия	Германия	Западная Европа	1901	1	51.516667	9.916667
Цуоц. Швейцария	Цуоц. Швейцария	Цуоц. Швейцария	Швейцария	Западная Европа	1901	1	46.586	10.0212
Айзенах	Айзенах	Айзенах	Германия	Западная Европа	1891	1	50.974722	10.324444
Айзенах. Кобург	Айзенах. Кобург	Айзенах	Германия	Западная Европа	1891	1	50.974722	10.324444
Инзельсберг	Инзельсберг	Инзельсберг	Германия	Западная Европа	1891	2	50.8477801	10.4528658
Гарц	Гарц	Гарц	Германия	Западная Европа	1921	1	51.75	10.633333
Осло	Осло	Осло	Норвегия	Западная Европа	1911	1	59.911111	10.752778
Флоренция	Флоренция	Флоренция	Италия	Средиземноморье	1851	1	43.783333	11.25
Флоренция	Флоренция	Флоренция	Италия	Средиземноморье	1861	1	43.783333	11.25
Флоренция	Флоренция	Флоренция	Италия	Средиземноморье	1891	1	43.783333	11.25
Флоренция	Флоренция	Флоренция	Италия	Средиземноморье	1901	2	43.783333	11.25
Флоренция	Флоренция	Флоренция	Италия	Средиземноморье	1911	3	43.783333	11.25
Шварцбург	Шварцбург	Шварцбург	Германия	Западная Европа	1891	1	50.6281	11.2517
Веймар	Веймар	Веймар	Германия	Западная Европа	1901	2	50.983333	11.316667
Сеттиньяно	Сеттиньяно	Сеттиньяно	Италия	Средиземноморье	1901	1	43.783342	11.321746
Долина реки Шварца, Тюрингия	Долина реки Шварца, Тюрингия	Долина реки Шварца, Тюрингия	Германия	Западная Европа	1891	1	50.6708	11.3774
Мюнхен	Мюнхен	Мюнхен	Германия	Западная Европа	1901	6	48.133333	11.566667
Мюнхен	Мюнхен	Мюнхен	Германия	Западная Европа	1921	1	48.133333	11.566667
Байройт	Байройт	Байройт	Германия	Западная Европа	1881	1	49.948056	11.578333
Байройт. Лейпциг	Байройт. Лейпциг	Байройт	Германия	Западная Европа	1891	1	49.948056	11.578333
Магдебург	Магдебург	Магдебург	Германия	Западная Европа	1891	1	52.133333	11.616667
Италия	Италия	Италия	Италия	Средиземноморье	1921	1	43	12
Перуджа. Сполето	Перуджа. Сполето	Перуджа	Италия	Средиземноморье	1901	1	43.0951223	12.3101119
Венеция	Венеция	Венеция	Италия	Средиземноморье	1901	7	45.433333	12.316667
Венеция	Венеция	Венеция	Италия	Средиземноморье	1921	2	45.433333	12.316667
Альтенбург	Альтенбург	Альтенбург	Германия	Западная Европа	1881	2	50.985	12.433333
Рим	Рим	Рим	Италия	Средиземноморье	1821	3	41.9	12.5
Рим	Рим	Рим	Италия	Средиземноморье	1831	3	41.9	12.5
Рим	Рим	Рим	Италия	Средиземноморье	1891	8	41.9	12.5
Рим	Рим	Рим	Италия	Средиземноморье	1911	2	41.9	12.5
Рим	Рим	Рим	Италия	Средиземноморье	1921	12	41.9	12.5
Рим	Рим	Рим	Италия	Средиземноморье	1961	1	41.9	12.5
Рим (from date)	Рим	Рим	Италия	Средиземноморье	1811	2	41.9	12.5
Рим (from date)	Рим	Рим	Италия	Средиземноморье	1821	2	41.9	12.5
Рим (from date)	Рим	Рим	Италия	Средиземноморье	1851	6	41.9	12.5
Рим (from date)	Рим	Рим	Италия	Средиземноморье	1911	3	41.9	12.5
Рим (from date)	Рим	Рим	Италия	Средиземноморье	1931	1	41.9	12.5
Рим (from date)	Рим	Рим	Италия	Средиземноморье	1951	1	41.9	12.5
Рим. Москва	Рим. Москва	Рим	Италия	Средиземноморье	1961	1	41.9	12.5
Рим. Специя	Рим. Специя	Рим	Италия	Средиземноморье	1921	1	41.9	12.5
озеро Кельпин	озеро Кельпин	озеро Кельпин	Германия	Западная Европа	1921	2	53.5013374	12.5281363
Ассизи	Ассизи	Ассизи	Италия	Средиземноморье	1911	1	43.066667	12.6
Фолиньо	Фолиньо	Фолиньо	Италия	Средиземноморье	1901	1	42.95	12.7
Марианске-Лазне	Марианске-Лазне	Марианске-Лазне	Чехия	Западная Европа	1921	1	49.964444	12.701944
Сполето	Сполето	Сполето	Италия	Средиземноморье	1901	1	42.733333	12.733333
Карловы Вары	Карловы Вары	Карловы Вары	Чехия	Западная Европа	1871	1	50.230556	12.8725
Зальцбург. Кёнигсзее	Зальцбург. Кёнигсзее	Зальцбург	Германия	Западная Европа	1891	1	47.8029039	12.9862179
Зальцбург	Зальцбург	Зальцбург	Австрия	Западная Европа	1891	2	47.8027886	12.9862183
Цоссен. Москва	Цоссен. Москва	Цоссен	Германия	Западная Европа	3_decades	1	52.1872024	13.2968086
Палермо	Палермо	Палермо	Италия	Средиземноморье	1881	1	38.116667	13.366667
Берлин	Берлин	Берлин	Германия	Западная Европа	1821	1	52.516667	13.383333
Берлин	Берлин	Берлин	Германия	Западная Европа	1841	1	52.516667	13.383333
Берлин	Берлин	Берлин	Германия	Западная Европа	1921	10	52.516667	13.383333
Берлин	Берлин	Берлин	Германия	Западная Европа	1931	1	52.516667	13.383333
Берлин (from date)	Берлин	Берлин	Германия	Западная Европа	1901	3	52.516667	13.383333
Берлин (from date)	Берлин	Берлин	Германия	Западная Европа	1911	1	52.516667	13.383333
Берлин (from date)	Берлин	Берлин	Германия	Западная Европа	1921	37	52.516667	13.383333
Берлин (from date)	Берлин	Берлин	Германия	Западная Европа	1931	8	52.516667	13.383333
Бинц, Рюген	Бинц, Рюген	Бинц, Рюген	Германия	Западная Европа	1921	1	54.4385	13.438
Лота	Лота	Лота	Италия	Средиземноморье	1901	1	41.6623003	13.6987602
Искья	Искья	Искья	Италия	Средиземноморье	1821	1	40.72	13.910556
Бад-Заров	Бад-Заров	Бад-Заров	Германия	Западная Европа	1921	21	52.293056	14.063611
Бад-Заров	Бад-Заров	Бад-Заров	Германия	Западная Европа	2_decades	2	52.293056	14.063611
Альбек	Альбек	Альбек	Германия	Западная Европа	1921	1	53.6548	14.2383
Капри	Капри	Капри	Италия	Средиземноморье	1891	1	40.550833	14.243333
Капри	Капри	Капри	Италия	Средиземноморье	1911	1	40.550833	14.243333
Капри. Неаполь	Капри. Неаполь	Капри	Италия	Средиземноморье	1921	1	40.550833	14.243333
Неаполь	Неаполь	Неаполь	Италия	Средиземноморье	1851	2	40.833333	14.25
Неаполь	Неаполь	Неаполь	Италия	Средиземноморье	1891	1	40.833333	14.25
Неаполитанский залив	Неаполитанский залив	Неаполитанский залив	Италия	Средиземноморье	1891	1	40.735278	14.275278
Сорренто	Сорренто	Сорренто	Италия	Средиземноморье	1921	3	40.633333	14.383333
Мендзыздрое	Мендзыздрое	Мендзыздрое	Польша	Украина, Молдавия, Белоруссия, Польша, Литва	1921	3	53.916667	14.45
Помпеи	Помпеи	Помпеи	Италия	Средиземноморье	1891	1	40.75	14.486111
Стокгольм	Стокгольм	Стокгольм	Швеция	Западная Европа	1901	1	59.3260664	17.8416269
Нюнесхамн	Нюнесхамн	Нюнесхамн	Швеция	Западная Европа	1901	1	58.904444	17.946389
Ионическое море	Ионическое море	Ионическое море	Италия	Средиземноморье	1891	1	38.101111	18.294722
Бжезины. Варшава. Лович	Бжезины. Варшава. Лович	Бжезины	Польша	Украина, Молдавия, Белоруссия, Польша, Литва	3_decades	1	51.8007699	19.7142683
Балтика	Балтика	Балтика	Балтика	Прибалтика	1921	1	58.987916	19.908427
Калининград	Калининград	Калининград	Балтика	Прибалтика	1941	1	54.716667	20.5
Цеханув	Цеханув	Цеханув	Польша	Украина, Молдавия, Белоруссия, Польша, Литва	1911	1	52.866667	20.633333
Прушкув	Прушкув	Прушкув	Польша	Украина, Молдавия, Белоруссия, Польша, Литва	1911	1	52.166089	20.804497
Варшава	Варшава	Варшава	Польша	Украина, Молдавия, Белоруссия, Польша, Литва	1821	1	52.216667	21.033333
Варшава	Варшава	Варшава	Польша	Украина, Молдавия, Белоруссия, Польша, Литва	1911	17	52.216667	21.033333
Варшава	Варшава	Варшава	Польша	Украина, Молдавия, Белоруссия, Польша, Литва	1931	2	52.216667	21.033333
Варшава (from date)	Варшава	Варшава	Польша	Украина, Молдавия, Белоруссия, Польша, Литва	1911	3	52.216667	21.033333
Варшава (from date)	Варшава	Варшава	Польша	Украина, Молдавия, Белоруссия, Польша, Литва	1921	2	52.216667	21.033333
Варшава (from date)	Варшава	Варшава	Польша	Украина, Молдавия, Белоруссия, Польша, Литва	1931	1	52.216667	21.033333
Варшава (from date)	Варшава	Варшава	Польша	Украина, Молдавия, Белоруссия, Польша, Литва	2_decades	1	52.216667	21.033333
Белосток. Варшава	Белосток. Варшава	Белосток	Польша	Украина, Молдавия, Белоруссия, Польша, Литва	1911	1	53.1277487	23.0156377
Хаапсалу	Хаапсалу	Хаапсалу	Эстония	Прибалтика	1821	1	58.95	23.533333
Асари. IN: Латвия	Асари	Асари	Латвия	Прибалтика	1901	1	56.9567	23.6931
Асари. IN: Латвия	Асари	Асари	Латвия	Прибалтика	1901	1	56.9567	23.6931
Афины	Афины	Афины	Греция	Средиземноморье	1891	1	38	23.716667
Майори. IN: Латвия	Майори	Майори	Латвия	Прибалтика	1911	1	56.9676493	23.786357
Рига. Берлин	Рига. Берлин	Рига	Латвия	Прибалтика	1921	1	56.9711599	23.8482968
Таллинн (from date)	Таллинн	Таллинн	Эстония	Прибалтика	1931	38	59.4713918	24.4573779
Таллинн (from date)	Таллинн	Таллинн	Эстония	Прибалтика	1961	1	59.4713918	24.4573779
Красное. IN: Бусский район, Львовская область	Красное	Красное	Украина, Львов	Украина, Молдавия, Белоруссия, Польша, Литва	1911	1	49.9163197	24.6002342
Таллинн	Таллинн	Таллинн	Эстония	Прибалтика	1901	1	59.433333	24.75
Сигулда. IN: Латвия	Сигулда	Сигулда	Латвия	Прибалтика	1911	2	57.153889	24.854444
Хювинккя	Хювинккя	Хювинккя	Финляндия	Северо-Запад	1911	1	60.6208	24.9146
Рунданы. IN: Латвия	Латвия	Латвия	Латвия	Прибалтика	1881	3	57	24.933333
Луцк. Ковель	Луцк. Ковель	Луцк	Украина, Волынь	Украина, Молдавия, Белоруссия, Польша, Литва	1911	1	50.7397699	25.2637932
Вильнюс	Вильнюс	Вильнюс	Литва	Украина, Молдавия, Белоруссия, Польша, Литва	1911	2	54.683333	25.283333
Боголюбы. IN: Волынская область	Боголюбы	Боголюбы	Украина, Волынь	Украина, Молдавия, Белоруссия, Польша, Литва	1911	5	50.741389	25.353889
Силламяэ. IN: Эстония	Силламяэ	Силламяэ	Эстония	Прибалтика	1901	1	59.4023504	27.7196975
Эстония	Эстония	Эстония	Эстония	Прибалтика	1911	1	58.833333	25.633333
Сальмела. IN: Ориматтила	Ориматтила	Ориматтила	Финляндия	Северо-Запад	1901	1	60.804167	25.733333
Рафаловка	Рафаловка	Рафаловка	Украина, Ровно	Украина, Молдавия, Белоруссия, Польша, Литва	1911	1	51.309167	25.996111
Финский залив	Финский залив	Финский залив	Санкт-Петербург	Петербург	1921	1	59.8833	26.1
Эдирне	Эдирне	Эдирне	Турция	Средиземноморье	1821	1	41.678056	26.559444
Тарту	Тарту	Тарту	Эстония	Прибалтика	1811	1	58.366667	26.716667
Котка	Котка	Котка	Финляндия	Северо-Запад	1821	1	60.466667	26.945833
Кирхшпиле Валькиала. IN: Хамина, Финляндия	Кирхшпиле Валькиала	Хамина	Финляндия	Северо-Запад	1811	1	60.5695866	27.1746379
Йыхви. Тойла. IN: Эстония	Йыхви. Тойла	Йыхви	Эстония	Прибалтика	1911	2	59.3532799	27.3933642
Бургас	Бургас	Бургас	Болгария	Черное море	1821	1	42.5	27.466667
Тойла	Тойла	Тойла	Эстония	Прибалтика	1911	10	59.416667	27.516667
Тойла	Тойла	Тойла	Эстония	Прибалтика	1921	1	59.416667	27.516667
Тойла (from date)	Тойла	Тойла	Эстония	Прибалтика	1911	3	59.416667	27.516667
Тойла (from date)	Тойла	Тойла	Эстония	Прибалтика	1921	9	59.416667	27.516667
Тойла (from date)	Тойла	Тойла	Эстония	Прибалтика	1931	20	59.416667	27.516667
Минск	Минск	Минск	Белоруссия	Украина, Молдавия, Белоруссия, Польша, Литва	1951	1	53.916667	27.55
Яссы	Яссы	Яссы	Молдавия	Украина, Молдавия, Белоруссия, Польша, Литва	1781	1	47.162222	27.588889
Яссы	Яссы	Яссы	Молдавия	Украина, Молдавия, Белоруссия, Польша, Литва	1821	1	47.162222	27.588889
Яссы	Яссы	Яссы	Молдавия	Украина, Молдавия, Белоруссия, Польша, Литва	1831	1	47.162222	27.588889
Скулень	Скулень	Скулень	Молдавия	Украина, Молдавия, Белоруссия, Польша, Литва	1821	1	47.328333	27.623889
Вайвара. IN: Ида-Вирумаа, Эстония	Вайвара	Вайвара	Эстония	Прибалтика	1881	1	59.367222	27.763056
Мерикюла. IN: Ида-Вирумаа, Эстония	Мерикюла	Мерикюла	Эстония	Прибалтика	1901	1	59.4080039	27.9540298
Нарва-Йыэсуу	Нарва-Йыэсуу	Нарва-Йыэсуу	Эстония	Прибалтика	1901	7	59.45	28.033333
Нарва-Йыэсуу	Нарва-Йыэсуу	Нарва-Йыэсуу	Эстония	Прибалтика	1911	1	59.45	28.033333
Псков	Псков	Псков	Псков	Северо-Запад	1911	1	57.816667	28.333333
Псков	Псков	Псков	Псков	Северо-Запад	1921	1	57.816667	28.333333
Псков	Псков	Псков	Псков	Северо-Запад	1971	1	57.816667	28.333333
станция Белая	станция Белая	станция Струги Красные	Псков	Северо-Запад	1881	2	58.2736923	28.3839047
Носковцы (Носківці). IN: Винницкая область	Носковцы	Носковцы	Украина, Винница	Украина, Молдавия, Белоруссия, Польша, Литва	1881	2	48.93	28.69
Рауха	Рауха	Рауха	Санкт-Петербург	Петербург	1901	8	61.194	28.695
Выборг	Выборг	Выборг	Санкт-Петербург	Петербург	1891	1	60.709167	28.744167
Вуоксенниска. IN: Иматра	Иматра	Иматра	Санкт-Петербург	Петербург	1911	2	61.193056	28.776389
Иматра	Иматра	Иматра	Санкт-Петербург	Петербург	1901	2	61.193056	28.776389
Иматра	Иматра	Иматра	Санкт-Петербург	Петербург	1911	2	61.193056	28.776389
Веймарн	Веймарн	Веймарн	Санкт-Петербург	Петербург	1901	1	59.401111	28.849167
Веймарн	Веймарн	Веймарн	Санкт-Петербург	Петербург	1911	6	59.401111	28.849167
Веймарн	Веймарн	Веймарн	Санкт-Петербург	Петербург	2_decades	1	59.401111	28.849167
Большая Пустомержа	Большая Пустомержа	Большая Пустомержа	Санкт-Петербург	Петербург	1911	1	59.382735	28.876667
Михайловское. IN: Псковская область. Петербург.	Михайловское	Михайловское	Псков	Северо-Запад	1891	1	57.0610602	28.9171959
Михайловское. IN: Псковская область	Михайловское	Михайловское	Псков	Северо-Запад	1891	5	57.0610573	28.9188374
Бююкдере. IN: Стамбул	Стамбул	Стамбул	Турция	Средиземноморье	1881	1	41.01	28.960278
Кадыкёй. IN: Стамбул	Стамбул	Стамбул	Турция	Средиземноморье	1911	1	41.01	28.960278
Стамбул	Стамбул	Стамбул	Турция	Средиземноморье	1911	2	41.01	28.960278
Возрождение. IN: Ленинградская область	Возрождение	Возрождение	Санкт-Петербург	Петербург	1911	2	60.860712	28.963949
Карнашово. IN: Витебская губерния	Карнашово	Карнашово	Белоруссия	Украина, Молдавия, Белоруссия, Польша, Литва	1901	7	55.3333333	29
Карнашово. IN: Витебская губерния	Карнашово	Карнашово	Белоруссия	Украина, Молдавия, Белоруссия, Польша, Литва	1911	1	55.3333333	29
Рыбница	Рыбница	Рыбница	Молдавия	Украина, Молдавия, Белоруссия, Польша, Литва	1871	2	47.766389	29.001111
Рыбница	Рыбница	Рыбница	Молдавия	Украина, Молдавия, Белоруссия, Польша, Литва	2_decades	1	47.766389	29.001111
Заозерье. IN: Псковская область	Заозерье	Заозерье	Псков	Северо-Запад	1901	3	58.6502144	29.0800123
Горьковское. IN: Ленинградская область	Горьковское	Горьковское	Санкт-Петербург	Петербург	1901	1	60.269329	29.433929
Ленинград (from date)	Ленинград	Ленинград	Санкт-Петербург	Петербург	1921	17	59.93922	29.5329
Ленинград (from date)	Ленинград	Ленинград	Санкт-Петербург	Петербург	1931	8	59.93922	29.5329
Ленинград (from date)	Ленинград	Ленинград	Санкт-Петербург	Петербург	1941	9	59.93922	29.5329
Ленинград (from date)	Ленинград	Ленинград	Санкт-Петербург	Петербург	1951	6	59.93922	29.5329
Ленинград (from date)	Ленинград	Ленинград	Санкт-Петербург	Петербург	1961	9	59.93922	29.5329
Ленинград (from date)	Ленинград	Ленинград	Санкт-Петербург	Петербург	1971	2	59.93922	29.5329
Ленинград (from date)	Ленинград	Ленинград	Санкт-Петербург	Петербург	3_decades	1	59.93922	29.5329
Рощино. IN: Ленинградская область	Рощино	Рощино	Санкт-Петербург	Петербург	1881	1	60.251998	29.5783798
Тирасполь	Тирасполь	Тирасполь	Молдавия	Украина, Молдавия, Белоруссия, Польша, Литва	1911	1	46.840278	29.643333
Имение Бельск. IN: под Лугой	Имение Бельск	Имение Бельск	Санкт-Петербург	Петербург	1911	4	58.6971417	29.6559659
Зеленогорск	Зеленогорск	Зеленогорск	Санкт-Петербург	Петербург	1911	1	60.2	29.7
Зеленогорск	Зеленогорск	Зеленогорск	Санкт-Петербург	Петербург	1961	2	60.2	29.7
Бельское Устье	Бельское Устье	Бельское Устье	Псков	Северо-Запад	1921	2	57.678333	29.704444
Смерди	Смерди	Смерди	Санкт-Петербург	Петербург	1881	1	58.652676	29.73058
Дылицы	Дылицы	Дылицы	Санкт-Петербург	Петербург	1911	4	59.482222	29.759167
Кронштадт	Кронштадт	Кронштадт	Санкт-Петербург	Петербург	1901	1	60	29.766667
Кронштадт	Кронштадт	Кронштадт	Санкт-Петербург	Петербург	1941	1	60	29.766667
