Adjective,Base_verb,Demotivation,Last_consonant,Theme_vowel,Allomorphy,Meaning,Possible_nominal_base
regitivo,regir,N,t,yes,R,A,N
regulativo,regular,N,t,yes,R,A,N
reiterativo,reiterar,N,t,yes,R,A,N
rememorativo,rememorar,N,t,yes,R,A,N
remunerativo,remunerar,N,t,yes,R,A,N
reparativo,reparar,N,t,yes,R,A,N
representativo,representar,N,t,yes,R,A,N
regitivo,regir,N,t,yes,R,A,N
regulativo,regular,N,t,yes,R,A,N
reiterativo,reiterar,N,t,yes,R,A,N
rememorativo,rememorar,N,t,yes,R,A,N
remunerativo,remunerar,N,t,yes,R,A,N
reparativo,reparar,N,t,yes,R,A,N
representativo,representar,N,t,yes,R,A,N
reproductivo,reproducir,N,t,no,I,A,N
reservativo,reservar,N,t,yes,R,A,N
resistivo,resistir,N,t,yes,R,A,N
resolutivo,resolver,N,t,no,I,A,N
restaurativo,restaurar,N,t,yes,R,A,N
restrictivo,restringir,N,t,no,I,A,N
retardativo,retardar,N,t,yes,R,A,N
retentivo,retener,N,t,no,I,A,N
retributivo,retribuir,N,t,no,R,A,N
rogativo,rogar,N,t,yes,R,A,N
rotativo,rotar,N,t,yes,R,A,N
sanativo,sanar,N,t,yes,R,A,N
santificativo,santificar,N,t,yes,R,A,N
sedativo,sedar,N,t,yes,R,A,N
seductivo,seducir,N,t,no,I,A,N
segregativo,segregar,N,t,yes,R,A,N
separativo,separar,N,t,yes,R,A,N
significativo,significar,N,t,yes,R,A,N
substitutivo,substituir,N,t,no,R,A,N
sugestivo,sugerir,N,t,no,I,A,N
supositivio,suponer,N,t,no,I,A,N
supurativo,supurar,N,t,yes,R,A,N
sustitutivo,sustituir,N,t,no,R,A,N
tentativo,tentar,N,t,yes,R,A,N
terminativo,terminar,N,t,yes,R,A,N
testificativo,testificar,N,t,yes,R,A,N
transformativo,transformar,N,t,yes,R,A,N
transmutativo,transmutar,N,t,yes,R,A,N
transpositivo,transponer,N,t,no,I,A,N
transformativo,transformar,N,t,yes,R,A,N
transmutativo,transmutar,N,t,yes,R,A,N
turbativo,turbar,N,t,yes,R,A,N
ulcerativo,ulcerar,N,t,yes,R,A,N
unitivo,unir,N,t,yes,R,A,N
valorativo,valorar,N,t,yes,R,A,N
vegetativo,vegetar,N,t,yes,R,A,N
vengativo,vengar,N,t,yes,R,A,N
verificativo,verificar,N,t,yes,R,A,N
vigilativo,vigilar,N,t,yes,R,A,N
vindicativo,vindicar,N,t,yes,R,A,N
vivificativo,vivificar,N,t,yes,R,A,N
vomipurgativo,vomipurgar,N,t,yes,R,A,N
vomitivo,vomitar,Y,t,no,R,A,N
votivo,votar,N,t,no,R,A,VOTO
abrasivo,abrasar,N,s,no,R,A,N
abusivo,abusar,N,s,no,R,A,ABUSO
adhesivo,adherir,N,s,no,I,A,N
agresivo,agredir,N,s,no,I,A,N
alusivo,aludir,N,s,no,I,A,N
aprehensivo,aprehender,N,s,no,I,A,N
aprensivo,aprender,Y,s,no,I,N,N
comprehensivo,comprehender,N,s,no,I,A,N
comprensivo,comprender,Y,s,no,I,N,N
compresivo,comprimir,N,s,no,I,A,N
concesivo,conceder,Y,s,no,I,A,N
conclusivo,concluir,N,s,no,I,A,CONCLUSO
conversivo,convertir,N,s,no,I,A,CONVERSO
corrosivo,corroer,N,s,no,I,A,N
decisivo,decidir,Y,s,no,I,A,N
evasivo,evadir,N,s,no,I,A,N
excesivo,exceder,Y,s,no,I,A,EXCESO
exclusivo,excluir,Y,s,no,R,A,N
expansivo,expandir,N,s,no,I,P,N
explosivo,explotar,N,s,no,I,A,N
expresivo,expresar,Y,s,no,R,A,N
expulsivo,expulsar,N,s,no,R,A,N
extensivo,extender,Y,s,no,I,P,EXTENSO
impulsivo,impulsar,N,s,no,R,A,IMPULSO
incisivo,incitar,Y,s,no,I,N,N
inclusivo,incluir,N,s,no,I,A,INCLUSO
ofensivo,ofender,N,s,no,I,A,N
opresivo,oprimir,N,s,no,I,A,N
pasivo,pasar,Y,s,no,R,A,PASO
permisivo,permitir,N,s,no,I,A,PERMISO
persuasivo,persuadir,N,s,no,I,A,N
posesivo,poseer,N,s,no,I,A,POSESO
progresivo,progresar,N,s,no,R,A,PROGRESO
regresivo,regresar,Y,s,no,R,A,REGRESO
remisivo,remitir,N,s,no,I,A,N
repercusivo,repercutir,N,s,no,I,A,N
represivo,reprimir,N,s,no,I,A,N
repulsivo,repulsar,N,s,no,R,A,REPULSA
responsivo,responder,N,s,no,I,A,N
revulsivo,revolver,N,s,no,I,A,N
subversivo,subvertir,N,s,no,I,A,N
sucesivo,suceder,Y,s,no,I,A,N
suspensivo,suspender,N,s,no,I,A,SUSPENSO
transgresivo,transgredir,N,s,no,I,A,N
visivo,ver,N,s,no,I,A,N
